TITLE = "1D CFD Solution"
VARIABLES = "x", "u"
ZONE I=501, F=POINT
0 0.000729203
0.002 0.00703835
0.004 0.0144394
0.006 0.0221676
0.008 0.0300057
0.01 0.0378226
0.012 0.0455413
0.014 0.0532057
0.016 0.0608416
0.018 0.0684622
0.02 0.0760744
0.022 0.0836814
0.024 0.0912851
0.026 0.0988862
0.028 0.106485
0.03 0.114082
0.032 0.121676
0.034 0.129268
0.036 0.136859
0.038 0.144445
0.04 0.152032
0.042 0.159612
0.044 0.167193
0.046 0.174767
0.048 0.182341
0.05 0.189912
0.052 0.197476
0.054 0.20504
0.056 0.2126
0.058 0.220152
0.06 0.227704
0.062 0.235254
0.064 0.242793
0.066 0.250329
0.068 0.257866
0.07 0.265395
0.072 0.272914
0.074 0.280432
0.076 0.28795
0.078 0.295456
0.08 0.302953
0.082 0.310449
0.084 0.317944
0.086 0.325427
0.088 0.332899
0.09 0.340367
0.092 0.347837
0.094 0.355297
0.096 0.362741
0.098 0.370178
0.1 0.377614
0.102 0.385049
0.104 0.392469
0.106 0.399873
0.108 0.407269
0.11 0.414666
0.112 0.42206
0.114 0.429438
0.116 0.436797
0.118 0.444146
0.12 0.451494
0.122 0.45884
0.124 0.466174
0.126 0.473487
0.128 0.480783
0.13 0.488072
0.132 0.49536
0.134 0.502642
0.136 0.509908
0.138 0.51715
0.14 0.524375
0.142 0.531591
0.144 0.538805
0.146 0.546013
0.148 0.553203
0.15 0.560368
0.152 0.56751
0.154 0.574639
0.156 0.581764
0.158 0.588883
0.16 0.595988
0.162 0.603069
0.164 0.610121
0.166 0.617149
0.168 0.624164
0.17 0.631174
0.172 0.638176
0.174 0.645161
0.176 0.652117
0.178 0.659039
0.18 0.665933
0.182 0.672808
0.184 0.679674
0.186 0.686531
0.188 0.693376
0.19 0.700185
0.192 0.706967
0.194 0.713695
0.196 0.720407
0.198 0.727087
0.2 0.733761
0.202 0.740431
0.204 0.747061
0.206 0.753684
0.208 0.760232
0.21 0.76675
0.212 0.77321
0.214 0.779661
0.216 0.786072
0.218 0.792485
0.22 0.798863
0.222 0.805235
0.224 0.811525
0.226 0.817777
0.228 0.823939
0.23 0.830074
0.232 0.836146
0.234 0.842207
0.236 0.848225
0.238 0.854253
0.24 0.860212
0.242 0.866166
0.244 0.87196
0.246 0.880466
0.248 0.851405
0.25 2.70214e-15
0.252 -0.851405
0.254 -0.880466
0.256 -0.87196
0.258 -0.866166
0.26 -0.860212
0.262 -0.854253
0.264 -0.848225
0.266 -0.842207
0.268 -0.836146
0.27 -0.830074
0.272 -0.823939
0.274 -0.817777
0.276 -0.811525
0.278 -0.805235
0.28 -0.798863
0.282 -0.792485
0.284 -0.786072
0.286 -0.779661
0.288 -0.77321
0.29 -0.76675
0.292 -0.760232
0.294 -0.753684
0.296 -0.747061
0.298 -0.740431
0.3 -0.733761
0.302 -0.727087
0.304 -0.720407
0.306 -0.713695
0.308 -0.706967
0.31 -0.700185
0.312 -0.693376
0.314 -0.686531
0.316 -0.679674
0.318 -0.672808
0.32 -0.665933
0.322 -0.659039
0.324 -0.652117
0.326 -0.645161
0.328 -0.638176
0.33 -0.631174
0.332 -0.624164
0.334 -0.617149
